,cuisines,dishTypes,spoonScore,Vegan,Vegetarian,ImageURL,Title,SourceURL,readyInMinutes,PricePerServing,Summary,equipment
113134,[],"['lunch', 'main course', 'main dish', 'dinner']",82,FALSE,FALSE,https://spoonacular.com/recipeImages/113134-556x370.jpg,Ginger Lemon Chicken,http://www.food.com/recipe/ginger-lemon-chicken-460647,70,307.52,"Ginger Lemon Chicken might be just the main course you are searching for. This gluten free and dairy free recipe serves 6 and costs $3.1 per serving. One serving contains 405 calories, <",
272368,['Southern'],"['lunch', 'main course', 'main dish', 'dinner']",36,FALSE,FALSE,https://spoonacular.com/recipeImages/272368-556x370.jpg,Two-Bite Fried Chicken,http://www.kraftrecipes.com/recipes/two-bite-fried-chicken-75003.aspx,90,121.46,Two-Bite Fried Chicken might be just the main course you are searching for. This dairy free recipe serves 8 and costs $1.21 per serving. One portion of this dish contains roughly 23g of prot,"['frying pan', 'paper towels']"
8065,[],"['lunch', 'main course', 'main dish', 'dinner']",98,FALSE,FALSE,https://spoonacular.com/recipeImages/8065-556x370.jpg,Grilled Jalapeno Tuna Steaks,http://allrecipes.com/Recipe/Grilled-Jalapeno-Tuna-Steaks/Detail.aspx,45,401.3,"Grilled Jalapeno Tuna Steaks requires about 45 minutes from start to finish. This caveman, gluten free, dairy free, and primal recipe serves 4 and costs $4.01 per serving. One serving co","['baking pan', 'whisk', 'plastic wrap', 'grill']"
58270,[],['side dish'],43,FALSE,TRUE,https://spoonacular.com/recipeImages/58270-556x370.jpg,Strawberry Cheesecake,http://homecookingadventure.com/recipes/strawberry-cheesecake,50,199.7,"One serving contains 357 calories, 10g of protein, and 24g of fat. This recipe serves 10 and costs $2.0 per serving. 2 people have tried and liked this recipe. From preparation to",
98390,[],['salad'],52,FALSE,FALSE,https://spoonacular.com/recipeImages/98390-556x370.png,Seven Layer Salad,http://www.food.com/recipe/seven-layer-salad-389314,25,252.65,"Seven Layer Salad might be just the main course you are searching for. This recipe makes 6 servings with 1139 calories, 27g of protein, and 101g of fat each. For $2.53 per serv",
164617,[],['side dish'],66,FALSE,FALSE,https://spoonacular.com/recipeImages/164617-556x370.jpg,Double-Spaghetti Squash,https://www.bettycrocker.com/recipes/double-spaghetti-squash/42eeca5a-f0c1-4b5e-a12e-d6fd24b34e28,110,117.2,"You can never have too many side dish recipes, so give Double-Spaghetti Squash a try. This recipe serves 4. For $1.17 per serving, this recipe covers 13% of your daily requirements of vi","['baking pan', 'oven']"
89529,[],['salad'],71,FALSE,FALSE,https://spoonacular.com/recipeImages/89529-556x370.png,Rice Salad Fit for a Dad,http://www.food.com/recipe/rice-salad-fit-for-a-dad-93816,40,258.22,"Rice Salad Fit for a Dad might be just the main course you are searching for. This gluten free, dairy free, fodmap friendly, and pescatarian recipe serves 4 and costs $2.21 per serving. One ser",
173394,"['Southwest', 'Southwestern', 'Tex-Mex']","['condiment', 'dip', 'spread']",19,FALSE,TRUE,https://spoonacular.com/recipeImages/173394-556x370.jpg,Hot Tex Mex Pimiento Cheese Dip,http://www.bettycrocker.com/recipes/hot-tex-mex-pimiento-cheese-dip/83383261-ba1a-4c68-9e30-f2a1e9e43e18,35,61.92,"The recipe Hot Tex Mex Pimiento Cheese Dip could satisfy your Southwestern craving in approximately 35 minutes. One serving contains 267 calories, 8g of protein, and 25g of fat","['glass baking pan', 'oven', 'baking pan', 'bowl']"
131718,[],['side dish'],12,FALSE,FALSE,https://spoonacular.com/recipeImages/131718-556x370.png,Chocolate Cinnamon Hazelnut Meringue Cake,http://allrecipes.com/Recipe/Chocolate-Cinnamon-Hazelnut-Meringue-Cake/Detail.aspx,45,70.2,Chocolate Cinnamon Hazelnut Meringue Cake might be just the dessert you are searching for. This recipe serves 8 and costs 70 cents per serving. Watching your figure? This gluten free recipe has 382,"['baking paper', 'baking sheet', 'cake form', 'sauce pan', 'oven', 'bowl', 'double boiler', 'pastry bag']"
295464,"['Mediterranean', 'French', 'European']",['side dish'],80,TRUE,TRUE,https://spoonacular.com/recipeImages/295464-556x370.jpg,Ratatouille,http://www.myrecipes.com/recipe/ratatouille-50400000124277/,45,113.23,"Ratatouille requires approximately 45 minutes from start to finish. Watching your figure? This caveman, gluten free, primal, and whole 30 recipe has 141 calories, 4g of protein, a",['frying pan']
205789,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",79,TRUE,TRUE,https://spoonacular.com/recipeImages/205789-556x370.jpg,Virgin Island Punch from Slightly Oliver,http://www.seriouseats.com/recipes/2011/11/slightly-oliver-aloe-strawberry-virgin-island-punch.html,10,136.6,"Virgin Island Punch from Slightly Oliver might be just the beverage you are searching for. This gluten free, fodmap friendly, and vegan recipe serves 40 and costs $1.63 per serving. One portion",['blender']
81861,[],[],30,FALSE,FALSE,https://spoonacular.com/recipeImages/81861-556x370.jpg,Pineapple Pork,http://www.thefoodieskitchen.com/2010/05/pineapple-pork/,45,154.5,"This recipe makes 4 servings with 307 calories, 2g of protein, and 6g of fat each. For $1.55 per serving, this recipe covers 11% of your daily requirements of vitami",
134462,[],"['lunch', 'main course', 'main dish', 'dinner']",58,FALSE,FALSE,https://spoonacular.com/recipeImages/134462-556x370.jpg,Chicken-Vegetable Pot Pie / Pies,http://www.food.com/recipe/chicken-vegetable-pot-pie-pies-8342,90,104.06,"You can never have too many main course recipes, so give Chicken-Vegetable Pot Pie / Pies a try. One serving contains 203 calories, 18g of protein, and 6g of fat. This recipe serv",
114233,[],['side dish'],29,FALSE,TRUE,https://spoonacular.com/recipeImages/114233-556x370.jpg,Rice and Egg Soup,http://www.food.com/recipe/rice-and-egg-soup-152344,17,113.16,"Rice and Egg Soup might be just the soup you are searching for. This gluten free, dairy free, fodmap friendly, and vegetarian recipe serves 4 and costs $1.06 per serving. One portion of this di",
133984,[],['salad'],35,FALSE,FALSE,https://spoonacular.com/recipeImages/133984-556x370.jpg,Gabby Gourmet's Ranch-Style Chicken Salad Sandwiches,http://www.food.com/recipe/gabby-gourmets-ranch-style-chicken-salad-sandwiches-285616,25,185,"Gabby Gourmet's Ranch-Style Chicken Salad Sandwiches is a dairy free main course. This recipe serves 10 and costs $1.67 per serving. One serving contains 443 calories, 12g of protein<",
167106,[],['side dish'],20,FALSE,TRUE,https://spoonacular.com/recipeImages/167106-556x370.jpg,Gluten-Free Gingerbread,http://www.bettycrocker.com/recipes/gluten-free-gingerbread/49fd37e8-83d2-44e6-a85e-32cfa2033543,125,88.7,"This recipe serves 10. One portion of this dish contains around 5g of protein, 12g of fat, and a total of 375 calories. If 87 cents per serving falls in your budget, Gluten","['oven', 'frying pan', 'aluminum foil', 'bowl', 'whisk', 'hand mixer', 'toothpicks']"
103359,['Middle Eastern'],['side dish'],76,TRUE,TRUE,https://spoonacular.com/recipeImages/103359-556x370.jpg,Basic Baba Ghanoush,http://www.food.com/recipe/basic-baba-ghanoush-279708,50,409.64,"Basic Baba Ghanoush might be just the middl eastern recipe you are searching for. One serving contains 701 calories, 12g of protein, and 52g of fat. For $4.1 per serving",
205396,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",17,FALSE,TRUE,https://spoonacular.com/recipeImages/205396-556x370.jpg,Snappy Turtle Cookies,http://www.seriouseats.com/recipes/2012/04/snappy-turtle-frosted-chocolate-pecan-cookies-recipe.html,150,31.6,"You can never have too many dessert recipes, so give Snappy Turtle Cookies a try. This recipe serves 30 and costs 31 cents per serving. One serving contains 114 calories, 2g of protein, ","['bowl', 'blender', 'plastic wrap', 'oven', 'baking paper', 'baking sheet', 'wire rack', 'microwave']"
111771,[],"['lunch', 'main course', 'main dish', 'dinner']",54,FALSE,FALSE,https://spoonacular.com/recipeImages/111771-556x370.jpeg,Cauliflower-Goat Cheese Gratin,http://www.foodnetwork.com/recipes/bobby-flay/cauliflower-goat-cheese-gratin-recipe/index.html,55,300.18,Cauliflower-Goat Cheese Gratin might be a good recipe to expand your side dish collection. This recipe serves 6 and costs $3.0 per serving. One portion of this dish contains roughly 30g of protein<,"['oven', 'casserole dish']"
259022,[],['side dish'],14,FALSE,TRUE,https://spoonacular.com/recipeImages/259022-556x370.jpg,Red Velvet Cheesecake,http://www.cookiemadness.net/2007/06/red-velvet-cheesecake/,95,137.14,"This vegetarian recipe serves 12 and costs $1.35 per serving. One portion of this dish contains approximately 4g of protein, 13g of fat, and a total of 345 calories. It can","['hand mixer', 'springform pan', 'oven', 'knife', 'wire rack', 'frying pan']"
174433,[],[],16,FALSE,TRUE,https://spoonacular.com/recipeImages/174433-556x370.jpg,Cheddar Cheese Bread,https://www.bettycrocker.com/recipes/cheddar-cheese-bread/d1154359-f1fc-4c4e-a0aa-0c3bb349d101,135,14.36,"Cheddar Cheese Bread might be just the hor d'oeuvre you are searching for. This vegetarian recipe serves 12 and costs 14 cents per serving. One serving contains 113 calories, 4g of pr","['loaf pan', 'bowl', 'oven', 'frying pan', 'toothpicks', 'wire rack']"
50513,[],['side dish'],56,TRUE,TRUE,https://spoonacular.com/recipeImages/50513-556x370.jpg,Mixed Baby Greens With Blackberries And Pecans With Champagne V,http://www.skinnytaste.com/2008/03/baby-greens-with-blackberries-pecans.html,5,75.21,"You can never have too many side dish recipes, so give Mixed Baby Greens With Blackberries And Pecans With Champagne V a try. This recipe serves 8 and costs 75 cents per serving. Watching your figure?",
87766,['Mexican'],"['lunch', 'main course', 'main dish', 'dinner']",59,FALSE,FALSE,https://spoonacular.com/recipeImages/87766-556x370.jpg,Smoked Salmon Quesadilla,http://www.food.com/recipe/smoked-salmon-quesadilla-247045,30,529.7,"Smoked Salmon Quesadilla might be just the hor d'oeuvre you are searching for. For $5.3 per serving, this recipe covers 24% of your daily requirements of vitamins and minerals. One servi","['grill', 'bowl']"
169067,[],"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",19,FALSE,TRUE,https://spoonacular.com/recipeImages/169067-556x370.jpg,"Meatless ""Meatballs",http://www.BettyCrocker.com/recipes/meatless-meatballs/15f28fee-3d2e-4b96-a5f1-b785a8ffaafc,45,26.47,"This recipe makes 24 servings with 69 calories, 3g of protein, and 5g of fat each. For 26 cents per serving, this recipe covers 3% of your daily requirements of vita","['oven', 'frying pan', 'bowl']"
196420,[],"['lunch', 'main course', 'main dish', 'dinner']",99,TRUE,TRUE,https://spoonacular.com/recipeImages/196420-556x370.jpg,"Grilled Octopus with Kale, Tomatoes, and Beans",http://www.epicurious.com/recipes/food/views/Grilled-Octopus-with-Kale-Tomatoes-and-Beans-366417,45,259.36,"You can never have too many main course recipes, so give Grilled Octopus with Kale, Tomatoes, and Beans a try. One serving contains 445 calories, 21g of protein, and 15g of fat. F","['pot', 'oven', 'roasting pan', 'rolling pin', 'frying pan', 'whisk', 'bowl', 'grill']"
